Date,Open,High,Low,Close,Adj Close,Volume
11/4/2016,22611.53906,22771.60938,22587.58984,22642.61914,22642.61914,1014413400
11/7/2016,22682.71094,22867.24023,22623.83984,22801.40039,22801.40039,1376889500
11/8/2016,22981.91016,22996.9707,22820.39063,22909.4707,22909.4707,1015231100
11/9/2016,23048.32031,23048.32031,21957.71094,22415.18945,22415.18945,3548427000
11/10/2016,22848.74023,22918.33984,22777.50977,22839.10938,22839.10938,1594983400
11/11/2016,22622.46094,22673.31055,22442.75,22531.08984,22531.08984,2105351100
11/14/2016,22344.23047,22359.00977,22118.86914,22222.2207,22222.2207,1910149300
11/15/2016,22270.90039,22411.11914,22254.08984,22323.91016,22323.91016,1461449900
11/16/2016,22439.98047,22499.39063,22280.5293,22280.5293,22280.5293,1609770500
11/17/2016,22170.07031,22367.4707,22114.01953,22262.88086,22262.88086,1355418500
11/18/2016,22239.23047,22374.35938,22146.88086,22344.21094,22344.21094,1128764800
11/21/2016,22313.03906,22480.75,22227.80078,22357.7793,22357.7793,1370598600
11/22/2016,22491.71094,22719.41992,22484.59961,22678.07031,22678.07031,1851269200
11/23/2016,22702.41016,22804.25977,22640.94922,22676.68945,22676.68945,1764207800
11/24/2016,22574.82031,22647.38086,22487.53906,22608.49023,22608.49023,1138055700
11/25/2016,22609.2207,22764.33984,22589.5293,22723.44922,22723.44922,1385320300
11/28/2016,22738.93945,22964.01953,22738.93945,22830.57031,22830.57031,1816314100
11/29/2016,22739.50977,22868.14063,22724.58984,22737.07031,22737.07031,1695023200
11/30/2016,22842.35938,22889.4707,22755,22789.76953,22789.76953,2062930000
12/1/2016,22948.65039,23012.2793,22837.5293,22878.23047,22878.23047,2119590600
12/2/2016,22736.83984,22756.00977,22559.19922,22564.82031,22564.82031,2479074200
12/5/2016,22580.75,22628.13086,22375.2793,22505.55078,22505.55078,1626049800
12/6/2016,22694.26953,22746.66992,22625.32031,22675.15039,22675.15039,1261679800
12/7/2016,22805.13086,22843.00977,22708.88086,22800.91992,22800.91992,1110472700
12/8/2016,23027.38086,23076.24023,22817.32031,22861.83984,22861.83984,1711745400
12/9/2016,22765.83984,22813.84961,22660.2207,22760.98047,22760.98047,1576021700
12/12/2016,22860.26953,22863.60938,22375.58008,22433.01953,22433.01953,2014527900
12/13/2016,22407.61914,22458.41992,22292.65039,22446.69922,22446.69922,1723223600
12/14/2016,22596.71094,22627.59961,22456.61914,22456.61914,22456.61914,1821093300
12/15/2016,22257.71094,22305.07031,21999.30078,22059.40039,22059.40039,2505720900
12/16/2016,21996.38086,22155.14063,21965.67969,22020.75,22020.75,1899711800
12/19/2016,21945.83984,21955.93945,21786.56055,21832.67969,21832.67969,1328500400
